book,vagga,story_thai
4,อรหนฺตวคฺควณฺณนา.,หญิงคนใดคนหนึ่ง
4,สหสฺสวคฺควณฺณนา.,บุรุษผู้คร่าโจรมีเคราแดง
4,สหสฺสวคฺควณฺณนา.,พระทารุจีริยเถระ
4,สหสฺสวคฺควณฺณนา.,พระกุณฑลเกสีเถรี
4,สหสฺสวคฺควณฺณนา.,พระกุณฑลเกสีเถรี, อนัตถปุจฉพราหมณ์
4,สหสฺสวคฺควณฺณนา.,อนัตถปุจฉพราหมณ์
4,สหสฺสวคฺควณฺณนา.,พราหมณ์ผู้เป็นลุงของพระสารีบุตรเถระ
4,สหสฺสวคฺควณฺณนา.,พราหมณ์ผู้เป็นหลานของพระสารีบุตรเถระ
4,สหสฺสวคฺควณฺณนา.,พราหมณ์ผู้เป็นสหายของพระสารีบุตรเถระ
4,สหสฺสวคฺควณฺณนา.,อายุวัฒนกุมาร
4,สหสฺสวคฺควณฺณนา.,สังกิจจสามเณร
4,สหสฺสวคฺควณฺณนา.,พระขานุโกณฑัญญเถระ
4,สหสฺสวคฺควณฺณนา.,พระสัปปทาสเถระ
4,สหสฺสวคฺควณฺณนา.,นางปฏาจารา
4,สหสฺสวคฺควณฺณนา.,นางกีสาโคตมี
4,สหสฺสวคฺควณฺณนา.,พระพหุปุตติกาเถรี
5,ปาปวคฺควณฺณนา.,จูเฬกสาฏกวตฺถุ
5,ปาปวคฺควณฺณนา.,เสยฺยสกตฺเถรวตฺถุ
5,ปาปวคฺควณฺณนา.,ลาชเทวธีตาวตฺถุ
5,ปาปวคฺควณฺณนา.,อนาถปิณฺฑิกวตฺถุ
5,ปาปวคฺควณฺณนา.,อสญฺญตปริกฺขารภิกฺขุวตฺถุ
5,ปาปวคฺควณฺณนา.,พิฬาลปทกเสฏฺฐิวตฺถุ
5,ปาปวคฺควณฺณนา.,มหาธนวาณิชวตฺถุ
5,ปาปวคฺควณฺณนา.,กุกฺกุฏมิตฺตวตฺถุ
5,ปาปวคฺควณฺณนา.,โกกสุนขลุทฺทกวตฺถุ
5,ปาปวคฺควณฺณนา.,มณิการกุลุปกติสฺสตฺเถรวตฺถุ
5,ปาปวคฺควณฺณนา.,ตโยชนวตฺถุ
5,ปาปวคฺควณฺณนา.,สุปฺปพุทฺธสกฺกวตฺถุ
5,ทณฺฑวคฺควณฺณนา.,ฉพฺพคฺคิยภิกฺขุวตฺถุ
5,ทณฺฑวคฺควณฺณนา.,สมฺพหุลกุมารกวตฺถุ
5,ทณฺฑวคฺควณฺณนา.,โกณฺฑธานตฺเถรวตฺถุ
5,ทณฺฑวคฺควณฺณนา.,อุโปสถกมฺมวตฺถุ
5,ทณฺฑวคฺควณฺณนา.,อชครเปตวตฺถุ
5,ทณฺฑวคฺควณฺณนา.,มหาโมคฺคลฺลานตฺเถรวตฺถุ
5,ทณฺฑวคฺควณฺณนา.,พหุภณฺฑิกภิกฺขุวตฺถุ
5,ทณฺฑวคฺควณฺณนา.,สนฺตติมหามตฺตวตฺถุ
5,ทณฺฑวคฺควณฺณนา.,ปิโลติกตฺเถรวตฺถุ
5,ทณฺฑวคฺควณฺณนา.,สุขสามเณรวตฺถุ
5,ชราวคฺควณฺณนา.,วิสาขายสหายิกาวตฺถุ
5,ชราวคฺควณฺณนา.,สิริมาวตฺถุ
5,ชราวคฺควณฺณนา.,อุตฺตรตฺเถรีวตฺถุ
5,ชราวคฺควณฺณนา.,อธิมานิกภิกฺขุวตฺถุ
5,ชราวคฺควณฺณนา.,รูปนนฺทตฺเถรีวตฺถุ
5,ชราวคฺควณฺณนา.,มลฺลิกาเทวีวตฺถุ
5,ชราวคฺควณฺณนา.,โลฬุทายิตฺเถรวตฺถุ
5,ชราวคฺควณฺณนา.,ปฐมโพธิวตฺถุ
5,ชราวคฺควณฺณนา.,มหาธนเสฏฺฐิปุตฺตวตฺถุ
6,อตฺตวคฺควณฺณนา.,โพธิราชกุมารวตฺถุ
